ligne_ID,id_sortie,unique_hunter_ID,id_chasseur,village,religion,niveau_etudes,activite_1,temps_chasseur,frequence_chasse,age_chasseur,type_de_la_sortie,mois,duree,distance_lieu_chasse_hr,strategie_primaire,strategie_chasse,type_fleches,type_pieges,nombre_pieges,type_chasse,periode_chasse,base_chasse,detail_base_chasse,depenses_totales,nombre_personnes,especes_chassees,succes,kg_tot,kg_rongeurs,kg_petitsongules,kg_ongulesmoyens,kg_grandsongules,kg_sangliers,kg_primates,kg_reptiles,kg_oiseaux,kg_autres,CPUE_duree,CPUE_duree_rongeurs,CPUE_duree_petitsongules,CPUE_duree_ongulesmoyens,CPUE_duree_grandsongules,CPUE_duree_sangliers,CPUE_duree_primates,CPUE_duree_reptiles,CPUE_duree_oiseaux,CPUE_duree_autres,CPUE_distance,CPUE_distance_rongeurs,CPUE_distance_petitsongules,CPUE_distance_ongulesmoyens,CPUE_distance_grandsongules,CPUE_distance_sangliers,CPUE_distance_primates,CPUE_distance_reptiles,CPUE_distance_oiseaux,CPUE_distance_autres
17,564,1_12,12,1,autre,primaire,1,8,0.707,,effectueeNONdeclaree,4,0.5,2,fusil,fusil,,,1,individuelle,les_deux,village,bekombo,5000,0,singes,1,9.2,0,0,0,0,0,9.2,0,0,0,18.4,0,0,0,0,0,18.4,0,0,0,4.6,0,0,0,0,0,4.6,0,0,0
18,485,1_12,12,1,autre,primaire,1,8,0.707,,effectueeNONdeclaree,1,0.5,0.25,pieges,pieges,,cable,0,individuelle,les_deux,village,bekombo,0,0,autres,1,1.5,0,0,0,0,0,0,1.5,0,0,3,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,6,0,0
19,407,1_12,12,1,autre,primaire,1,8,0.707,,planifiee,11,1,1.5,fusil,fusil,,,0,individuelle,jour,village,route_lompole,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,598,1_12,12,1,autre,primaire,1,8,0.707,,effectueeNONdeclaree,4,0.5,1,pieges,pieges,,cable,55,individuelle,les_deux,village,bekombo,0,0,autres,1,1.4,0,0,0,0,0,0,1.4,0,0,2.8,0,0,0,0,0,0,2.8,0,0,1.4,0,0,0,0,0,0,1.4,0,0
21,526,1_13,13,1,protestant,aucune,1,12,0.283,46,effectueeNONdeclaree,2,0.5,0.5,pieges,pieges,,cable,45,individuelle,les_deux,village,bekombo,0,0,autres,1,1.3,0,0,0,0,0,0,1.3,0,0,2.6,0,0,0,0,0,0,2.6,0,0,2.6,0,0,0,0,0,0,2.6,0,0
22,483,1_13,13,1,protestant,aucune,1,12,0.283,46,effectueeNONdeclaree,2,0.5,0.5,fusil,fusil,,,1,individuelle,les_deux,village,bekombo,0,0,singes,1,3.5,0,0,0,0,0,3.5,0,0,0,7,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,7,0,0,0
23,93,1_13,13,1,protestant,aucune,1,12,0.283,46,effectuee&declaree,8,1,1,pieges,arc&fleches_pieges,bosiki,cable,,individuelle,jour,village,,0,0,autres,1,8,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,8,0,0
24,578,1_13,13,1,protestant,aucune,1,12,0.283,46,effectueeNONdeclaree,3,0.5,0.5,fusil,fusil,,,1,individuelle,les_deux,village,bekombo,0,0,singes,1,7,0,0,0,0,0,7,0,0,0,14,0,0,0,0,0,14,0,0,0,14,0,0,0,0,0,14,0,0,0
25,292,1_13,13,1,protestant,aucune,1,12,0.283,46,planifiee,10,3,1,pieges,filets_pieges_arc&fleches_autre,bosiki,cable,,collective,les_deux,campement_temporaire,,0,2,,1,0.8,0,0,0,0,0,0,0.8,0,0,0.266666667,0,0,0,0,0,0,0.266666667,0,0,0.8,0,0,0,0,0,0,0.8,0,0
26,362,1_14,14,1,autre,secondaire,1,13,0.354,28,effectueeNONdeclaree,11,1,1,arc&fleches,arc&fleches,bosiki,,1,individuelle,nuit,village,kumbo'o,0,0,petitsongules,1,4.1,0,4.1,0,0,0,0,0,0,0,4.1,0,4.1,0,0,0,0,0,0,0,4.1,0,4.1,0,0,0,0,0,0,0
27,595,1_14,14,1,autre,secondaire,1,13,0.354,28,effectueeNONdeclaree,4,0.5,0.75,pieges,pieges,,cable,20,individuelle,les_deux,village,bekombo,0,0,grandsongules,1,24,0,0,0,24,0,0,0,0,0,48,0,0,0,48,0,0,0,0,0,32,0,0,0,32,0,0,0,0,0
28,436,1_14,14,1,autre,secondaire,1,13,0.354,28,effectueeNONdeclaree,7,0.5,2,arc&fleches,arc&fleches,makula,,3,individuelle,les_deux,village,bekombo,0,0,petitsongules,1,5,0,5,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,2.5,0,2.5,0,0,0,0,0,0,0
29,294,1_14,14,1,autre,secondaire,1,13,0.354,28,effectuee&declaree,10,1,1,arc&fleches,arc&fleches,bosiki,,2,individuelle,nuit,village,,1500,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,293,1_14,14,1,autre,secondaire,1,13,0.354,28,effectueeNONdeclaree,10,1,1,arc&fleches,arc&fleches,bosiki,,2,individuelle,nuit,village,lolou,0,0,autres,1,1.6,0,0,0,0,0,0,0,0,1.6,1.6,0,0,0,0,0,0,0,0,1.6,1.6,0,0,0,0,0,0,0,0,1.6
31,533,1_14,14,1,autre,secondaire,1,13,0.354,28,effectueeNONdeclaree,3,0.5,0.5,pieges,pieges,,cable,35,individuelle,les_deux,village,bekombo,0,0,rongeurs,1,0.9,0.9,0,0,0,0,0,0,0,0,1.8,1.8,0,0,0,0,0,0,0,0,1.8,1.8,0,0,0,0,0,0,0,0
32,143,1_14,14,1,autre,secondaire,1,13,0.354,28,effectuee&declaree,9,1,1,arc&fleches,arc&fleches,bosiki,,2,individuelle,nuit,village,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,580,1_14,14,1,autre,secondaire,1,13,0.354,28,effectueeNONdeclaree,3,0.5,2,pieges,pieges,,cable,45,individuelle,les_deux,village,bekombo,0,0,grandsongules,1,15,0,0,15,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,7.5,0,0,7.5,0,0,0,0,0,0
34,145,1_15,15,1,protestant,secondaire,1,15,0.354,28,planifiee,9,6,2,arc&fleches,arc&fleches,bosiki,,,collective,nuit,campement_temporaire,,0,4,,1,0.8,0,0,0,0,0,0,0.8,0,0,0.133333333,0,0,0,0,0,0,0.133333333,0,0,0.4,0,0,0,0,0,0,0.4,0,0
35,529,1_15,15,1,protestant,secondaire,1,15,0.354,28,effectueeNONdeclaree,3,0.5,1,pieges,pieges,,cable,50,individuelle,les_deux,village,bekombo,0,0,rongeurs,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
36,411,1_15,15,1,protestant,secondaire,1,15,0.354,28,planifiee,11,5,1,fusil,fusil,,,1,collective,les_deux,village,isongo_dingo,18000,5,,1,4.4,0,0,4.4,0,0,0,0,0,0,0.88,0,0,0.88,0,0,0,0,0,0,4.4,0,0,4.4,0,0,0,0,0,0
37,270,1_15,15,1,protestant,secondaire,1,15,0.354,28,effectuee&declaree,10,0.5,2,arc&fleches,arc&fleches,bosiki,,4,individuelle,jour,village,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,584,1_15,15,1,protestant,secondaire,1,15,0.354,28,effectueeNONdeclaree,3,0.5,0.5,fusil,fusil,,,1,individuelle,les_deux,village,bekombo,0,0,singes,1,4,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,8,0,0,0
39,194,1_15,15,1,protestant,secondaire,1,15,0.354,28,planifiee,9,3,1.5,arc&fleches,arc&fleches,bosiki,,1,collective,nuit,campement_temporaire,,0,4,,1,4,0,4,0,0,0,0,0,0,0,1.333333333,0,1.333333333,0,0,0,0,0,0,0,2.666666667,0,2.666666667,0,0,0,0,0,0,0
40,373,1_16,16,1,protestant,primaire,1,4,0.354,,effectueeNONdeclaree,11,1,1.75,fusil,fusil,,,1,individuelle,les_deux,village,bapaki,0,0,singes,1,6.55,0,0,0,0,0,6.55,0,0,0,6.55,0,0,0,0,0,6.55,0,0,0,3.742857143,0,0,0,0,0,3.742857143,0,0,0
41,197,1_17,17,1,autre,primaire,1,7,0.354,,planifiee,9,4,1.5,arc&fleches,arc&fleches,bosiki,,1,collective,nuit,campement_temporaire,,0,4,,1,7,0,0,7,0,0,0,0,0,0,1.75,0,0,1.75,0,0,0,0,0,0,4.666666667,0,0,4.666666667,0,0,0,0,0,0
42,192,1_17,17,1,autre,primaire,1,7,0.354,,planifiee,9,4,1.5,arc&fleches,arc&fleches,bosiki,,2,collective,nuit,campement_temporaire,,0,4,,1,7.5,0,7.5,0,0,0,0,0,0,0,1.875,0,1.875,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0
43,421,1_17,17,1,autre,primaire,1,7,0.354,,effectueeNONdeclaree,12,4,1,pieges,pieges,,cable,150,individuelle,nuit,village,mbungusani,0,0,grandsongules,1,25,0,0,25,0,0,0,0,0,0,6.25,0,0,6.25,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0
44,319,1_17,17,1,autre,primaire,1,7,0.354,,planifiee,10,1,1,arc&fleches,arc&fleches,bosiki,,2,collective,nuit,campement_temporaire,,0,5,,1,3,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0
45,144,1_17,17,1,autre,primaire,1,7,0.354,,planifiee,9,6,1.5,arc&fleches,arc&fleches,bosiki,,6,collective,nuit,campement_temporaire,,0,4,,1,3.4,0,3.4,0,0,0,0,0,0,0,0.566666667,0,0.566666667,0,0,0,0,0,0,0,2.266666667,0,2.266666667,0,0,0,0,0,0,0
46,476,1_17,17,1,autre,primaire,1,7,0.354,,effectueeNONdeclaree,2,1,3,arc&fleches,arc&fleches,makula,,3,individuelle,les_deux,village,bekombo,0,1,grandsongules,1,8,0,0,8,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,2.666666667,0,0,2.666666667,0,0,0,0,0,0
47,290,1_17,17,1,autre,primaire,1,7,0.354,,effectuee&declaree,10,1,1,fusil,fusil_arc&fleches,bosiki,,2,individuelle,nuit,village,indwandwa,10000,1,petitsongules_ongulesmoyens,1,17,0,3,14,0,0,0,0,0,0,17,0,3,14,0,0,0,0,0,0,17,0,3,14,0,0,0,0,0,0
48,285,1_17,17,1,autre,primaire,1,7,0.354,,effectuee&declaree,10,1,0.3,fusil,fusil_arc&fleches,bosiki,,4,collective,nuit,village,ikokongo,0,2,petitsongules,1,5,0,5,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,16.66666667,0,16.66666667,0,0,0,0,0,0,0
49,536,1_19,19,1,autre,primaire,1,10,0.354,58,effectueeNONdeclaree,3,0.5,1,pieges,pieges,,cable,18,individuelle,les_deux,village,bekombo,0,0,autres,1,1.5,0,0,0,0,0,0,1.5,0,0,3,0,0,0,0,0,0,3,0,0,1.5,0,0,0,0,0,0,1.5,0,0
50,482,1_2,2,1,autre,universite,1,15,0.354,53,effectueeNONdeclaree,2,3,3,arc&fleches,arc&fleches,makula,,2,individuelle,les_deux,village,bekombo,0,0,petitsongules,1,1.2,0,1.2,0,0,0,0,0,0,0,0.4,0,0.4,0,0,0,0,0,0,0,0.4,0,0.4,0,0,0,0,0,0,0
51,134,1_2,2,1,autre,universite,1,15,0.354,53,effectuee&declaree,9,1,1.5,fusil,arc&fleches_fusil,bosiki,,,collective,nuit,village,imange,0,2,petitsongules,1,4.2,0,4.2,0,0,0,0,0,0,0,4.2,0,4.2,0,0,0,0,0,0,0,2.8,0,2.8,0,0,0,0,0,0,0
52,11,1_2,2,1,autre,universite,1,15,0.354,53,effectuee&declaree,7,1,2,chiens,arc&fleches_chiens,bosiki,,3,individuelle,jour,village,lonia,3200,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,198,1_2,2,1,autre,universite,1,15,0.354,53,planifiee,9,4,1.5,arc&fleches,arc&fleches,bosiki,,3,collective,nuit,campement_temporaire,,0,4,,1,3,0,3,0,0,0,0,0,0,0,0.75,0,0.75,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
54,99,1_2,2,1,autre,universite,1,15,0.354,53,planifiee,8,1,1.5,arc&fleches,arc&fleches,bosiki,,8,collective,nuit,campement_permanent,,0,8,,1,3,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
55,100,1_2,2,1,autre,universite,1,15,0.354,53,planifiee,8,1,1.5,arc&fleches,arc&fleches,bosiki,,8,collective,nuit,campement_permanent,,0,6,,1,3.5,0,3.5,0,0,0,0,0,0,0,3.5,0,3.5,0,0,0,0,0,0,0,2.333333333,0,2.333333333,0,0,0,0,0,0,0
56,298,1_20,20,1,protestant,secondaire,1,5,0.354,33,effectueeNONdeclaree,10,1,0.5,pieges,pieges,,nylon,1,individuelle,nuit,village,nioko,0,1,ongulesmoyens,1,3.4,0,0,3.4,0,0,0,0,0,0,3.4,0,0,3.4,0,0,0,0,0,0,6.8,0,0,6.8,0,0,0,0,0,0
57,549,1_24,24,1,protestant,secondaire,1,20,0.354,30,effectueeNONdeclaree,3,0.5,0.5,pieges,pieges,,lokumu,,individuelle,les_deux,village,bekombo,0,0,oiseaux,1,1.4,0,0,0,0,0,0,0,1.4,0,2.8,0,0,0,0,0,0,0,2.8,0,2.8,0,0,0,0,0,0,0,2.8,0
58,565,1_24,24,1,protestant,secondaire,1,20,0.354,30,effectueeNONdeclaree,4,0.5,0.5,fusil,fusil,,,1,individuelle,jour,village,bekombo,8500,0,singes,1,9,0,0,0,0,0,9,0,0,0,18,0,0,0,0,0,18,0,0,0,18,0,0,0,0,0,18,0,0,0
59,537,1_26,26,1,protestant,secondaire,1,21,0.354,,effectueeNONdeclaree,3,0.5,1,pieges,pieges,,cable,69,individuelle,les_deux,village,bekombo,0,0,oiseaux_rongeurs,1,1.2,1,0,0,0,0,0,0,0.2,0,2.4,2,0,0,0,0,0,0,0.4,0,1.2,1,0,0,0,0,0,0,0.2,0
60,537,1_26,26,1,autre,secondaire,1,5,0.354,,effectueeNONdeclaree,3,0.5,1,pieges,pieges,,cable,69,individuelle,les_deux,village,bekombo,0,0,oiseaux_rongeurs,1,1.2,1,0,0,0,0,0,0,0.2,0,2.4,2,0,0,0,0,0,0,0.4,0,1.2,1,0,0,0,0,0,0,0.2,0
61,478,1_26,26,1,protestant,secondaire,1,21,0.354,,effectueeNONdeclaree,2,1,0.5,autre,autre,,,2,individuelle,les_deux,village,bekombo,0,0,grandsongules,1,4,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0
62,478,1_26,26,1,autre,secondaire,1,5,0.354,,effectueeNONdeclaree,2,1,0.5,autre,autre,,,2,individuelle,les_deux,village,bekombo,0,0,grandsongules,1,4,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0
