Source,mois,espece,espece,Genre,age,sexe,en_allaitement,enceinte,condition,poids_kg,circumference_cou,longueur_cm,provenance,strategie,jour_nuit,Dest_jeter,Dest_conso,Dest_vente,Dest_paim,Dest_don,kg_jeter,kg_conso,kg_vente,kg_paim,kg_don,condition_vente,prix_vente_fc,prix_vente_kg,village,ID_sortie,unique_hunter_ID
Q4,9,cephalophe_de_weyns,cephalophe_de_weyns,ungulate_medium,adulte,femelle,non,non,frais,15,29,51,foret_primaire,arc&fleches,nuit,0,0,1,0,0,0,0,15,0,0,entiere,30000,2000,3,138,3_3
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,male,,,frais,3,19,34,foret_primaire,arc&fleches,nuit,0,0,1,0,0,0,0,3,0,0,morceaux,5000,1666.666667,3,138,3_3
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,femelle,non,non,frais,2.5,17,34,foret_primaire,arc&fleches,nuit,0,0,1,0,0,0,0,2.5,0,0,morceaux,5000,2000,3,138,3_3
Q4,9,rat_de_gambie,rat_de_gambie,rodent,jeune,male,,,frais,0.6,15,20,foret_primaire,pieges,jour,0,1,0,0,0,0,0.6,0,0,0,,,,3,139,3_17
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,femelle,non,non,frais,3.4,17,35,foret_primaire,arc&fleches,nuit,0,0.5,0,0,0.5,0,1.7,0,0,1.7,,,,1,144,1_17
Q4,9,tortue_de_terre_inconnue,tortue_de_terre_inconnue,reptiles,adulte,femelle,non,non,frais,0.8,NA,NA,foret_primaire,autres,nuit,0,0.5,0,0,0.5,0,0.4,0,0,0.4,,,,1,145,1_15
Q4,9,cephalophe_de_weyns,cephalophe_de_weyns,ungulate_medium,adulte,femelle,non,non,frais,10.3,30,55,foret_primaire,arc&fleches,nuit,0,0,1,0,0,0,0,10.3,0,0,entiere,24000,2330.097087,1,146,1_5
Q4,9,atherure,atherure,rodent,adulte,femelle,non,non,frais,2.2,14,26,foret_primaire,pieges,jour,0,0.5,0,0,0.5,0,1.1,0,0,1.1,,,,1,147,1_1
Q4,7,cephalophe_de_weyns,cephalophe_de_weyns,ungulate_medium,adulte,male,,,pourri,26,NA,56,foret_primaire,pieges,jour,0,0.25,0.25,0.25,0.25,0,6.5,6.5,6.5,6.5,morceaux,5000,769.2307692,5,15,5_6
Q4,9,atherure,atherure,rodent,adulte,femelle,non,non,frais,1.8,20,27,foret_primaire,pieges,jour,0,1,0,0,0,0,1.8,0,0,0,,,,5,150,5_0
Q4,9,crocodil_nain,crocodil_nain,reptiles,jeune,femelle,non,non,frais,1.2,15,28,riviere,machette,nuit,0,1,0,0,0,0,1.2,0,0,0,,,,5,151,5_15
Q4,9,crocodil_nain,crocodil_nain,reptiles,adulte,femelle,non,non,frais,4.5,25,32,riviere,machette,nuit,0,0.15,0.75,0,0.1,0,0.675,3.375,0,0.45,morceaux,10000,2962.962963,5,152,5_17
Q4,9,petit_pangolin_inconnu,petit_pangolin_inconnu,pangolins,adulte,femelle,non,non,frais,1.6,13,29,foret_primaire,autres,nuit,0,1,0,0,0,0,1.6,0,0,0,,,,1,153,1_9
Q4,9,vipere_inconnue,vipere_inconnue,reptiles,adulte,femelle,non,oui,frais,4.6,21,1.3,foret_secondaire,autres,jour,0,1,0,0,0,0,4.6,0,0,0,,,,5,155,5_0
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,jeune,femelle,non,non,frais,1.3,11,23,foret_mixte,pieges,jour,0,1,0,0,0,0,1.3,0,0,0,,,,4,159,4_2
Q4,9,rat_de_gambie,rat_de_gambie,rodent,jeune,male,,,frais,1.2,10,24,foret_primaire,pieges,jour,0,1,0,0,0,0,1.2,0,0,0,,,,2,161,2_14
Q4,9,aulacode,aulacode,rodent,jeune,male,,,frais,2.5,14.3,33,jacheres,pieges,jour,0,0,1,0,0,0,0,2.5,0,0,entiere,5000,2000,4,162,4_15
Q4,9,rat_de_gambie,rat_de_gambie,rodent,jeune,femelle,non,non,frais,1,10,24,jacheres,pieges,jour,0,1,0,0,0,0,1,0,0,0,,,,4,162,4_15
Q4,9,tortue_de_terre_inconnue,tortue_de_terre_inconnue,reptiles,jeune,femelle,non,non,frais,0.9,9,23.5,foret_primaire,pieges,jour,0,1,0,0,0,0,0.9,0,0,0,,,,4,163,4_14
Q4,10,cephalophe_de_weyns,cephalophe_de_weyns,ungulate_medium,adulte,femelle,non,oui,frais,18,6,60,foret_primaire,pieges,jour,0,0.25,0.5,0,0.25,0,4.5,9,0,4.5,moities,14000,1555.555556,2,167,2_7
Q4,9,tortue_de_terre_inconnue,tortue_de_terre_inconnue,reptiles,adulte,femelle,non,non,frais,1,NA,NA,foret_primaire,autres,nuit,0,0,1,0,0,0,0,1,0,0,entiere,6000,6000,3,169,3_3
Q4,9,tortue_de_terre_inconnue,tortue_de_terre_inconnue,reptiles,adulte,male,,,frais,1.6,NA,NA,foret_primaire,autres,nuit,0,1,0,0,0,0,1.6,0,0,0,,,,3,169,3_3
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,male,,,frais,3.4,23,35,foret_primaire,arc&fleches,nuit,0,0,1,0,0,0,0,3.4,0,0,entiere,6000,1764.705882,3,169,3_3
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,male,,,frais,2.4,18,35,foret_primaire,arc&fleches,nuit,0,1,0,0,0,0,2.4,0,0,0,,,,3,169,3_3
Q4,9,cephalophe_de_weyns,cephalophe_de_weyns,ungulate_medium,adulte,femelle,non,non,frais,18,35,65,foret_primaire,arc&fleches,nuit,0,0,1,0,0,0,0,18,0,0,entiere,30000,1666.666667,3,169,3_3
Q4,9,sitatunga,sitatunga,ungulate_large,jeune,male,,,frais,18,28,56,marecages,pieges,jour,0,0,0.25,0.75,0,0,0,4.5,13.5,0,morceaux,5400,1200,6,170,6_12
Q4,9,cercocebe_noir,cercocebe_noir,primates,adulte,femelle,oui,non,frais,4.5,18,40,foret_primaire,fusil,jour,0,1,0,0,0,0,4.5,0,0,0,,,,6,171,6_1
Q4,9,oiseau_inconnu,autre,bird,adulte,male,,,frais,0.7,6.5,12,foret_primaire,pieges,jour,0,1,0,0,0,0,0.7,0,0,0,,,,3,172,3_17
Q4,9,potamochere,potamochere,hogs,jeune,femelle,non,non,frais,15,47,36,foret_primaire,pieges,jour,0,0.5,0.5,0,0,0,7.5,7.5,0,0,morceaux,10000,1333.333333,6,173,6_13
Q4,10,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,femelle,non,oui,frais,4.3,16,42,foret_primaire,arc&fleches,nuit,0,0,1,0,0,0,0,4.3,0,0,morceaux,7000,1627.906977,4,176,4_1
Q4,10,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,male,,,frais,3,14,38,foret_mixte,arc&fleches,nuit,0,1,0,0,0,0,3,0,0,0,,,,4,176,4_1
Q4,10,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,male,,,frais,3.8,16,35,foret_primaire,fusil,nuit,0,0.25,0.75,0,0,0,0.95,2.85,0,0,morceaux,5000,1754.385965,4,177,4_16
Q4,10,cephalophe_dos_jaune,cephalophe_dos_jaune,ungulate_large,adulte,femelle,oui,non,frais,49,52,82,foret_primaire,chiens,jour,0,0,1,0,0,0,0,49,0,0,morceaux,43000,877.5510204,4,178,4_10
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,male,,,frais,3.5,18,37,foret_primaire,arc&fleches,nuit,0,1,0,0,0,0,3.5,0,0,0,,,,3,180,3_24
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,male,,,frais,4,17,37,foret_primaire,arc&fleches,nuit,0,1,0,0,0,0,4,0,0,0,,,,3,181,3_3
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,jeune,femelle,non,oui,frais,4.5,17,39,foret_primaire,arc&fleches,nuit,0,1,0,0,0,0,4.5,0,0,0,,,,3,182,3_26
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,jeune,femelle,non,non,frais,1.5,12.5,31,foret_primaire,arc&fleches,nuit,0,1,0,0,0,0,1.5,0,0,0,,,,3,183,3_14
Q4,9,rat_de_gambie,rat_de_gambie,rodent,adulte,male,,,frais,1,13.5,24,savane,pieges,jour,0,1,0,0,0,0,1,0,0,0,,,,3,184,3_3
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,male,,,frais,1.7,15.5,27,foret_primaire,arc&fleches,nuit,0,1,0,0,0,0,1.7,0,0,0,,,,1,185,1_26
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,male,,,frais,3,15.5,36,foret_primaire,arc&fleches,nuit,0,1,0,0,0,0,3,0,0,0,,,,1,186,1_3
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,femelle,non,non,frais,3,17,34,foret_primaire,fusil,jour,0,0,1,0,0,0,0,3,0,0,entiere,6000,2000,5,187,5_20
Q4,9,cephalophe_de_weyns,cephalophe_de_weyns,ungulate_medium,inconnu,inconnu,,,fume,4.2,NA,48,foret_primaire,pieges,jour,0,0,1,0,0,0,0,4.2,0,0,moities,12000,2857.142857,5,188,5_11
Q4,9,cephalophe_de_weyns,cephalophe_de_weyns,ungulate_medium,inconnu,inconnu,,,fume,4,0,48,foret_primaire,pieges,jour,0,0,1,0,0,0,0,4,0,0,moities,12000,3000,5,188,5_11
Q4,9,cephalophe_bai,cephalophe_bai,ungulate_medium,inconnu,inconnu,,,fume,2.3,NA,44,foret_primaire,pieges,jour,0,0,1,0,0,0,0,2.3,0,0,moities,20000,8695.652174,5,189,5_10
Q4,9,cephalophe_bai,cephalophe_bai,ungulate_medium,inconnu,inconnu,,,fume,2.4,0,43,foret_primaire,pieges,jour,0,0,1,0,0,0,0,2.4,0,0,moities,20000,8333.333333,5,189,5_10
Q4,9,cephalophe_de_weyns,cephalophe_de_weyns,ungulate_medium,inconnu,inconnu,,,fume,1.4,0,40,foret_primaire,pieges,jour,0,1,0,0,0,0,1.4,0,0,0,,,,5,189,5_10
Q4,9,cephalophe_de_weyns,cephalophe_de_weyns,ungulate_medium,inconnu,inconnu,,,fume,1.8,0,40,foret_primaire,pieges,jour,0,0,1,0,0,0,0,1.8,0,0,moities,15000,8333.333333,5,189,5_10
Q4,9,cephalophe_de_weyns,cephalophe_de_weyns,ungulate_medium,inconnu,inconnu,,,fume,1.2,0,41,foret_primaire,pieges,jour,0,0,1,0,0,0,0,1.2,0,0,moities,15000,12500,5,189,5_10
Q4,9,cephalophe_de_weyns,cephalophe_de_weyns,ungulate_medium,inconnu,inconnu,,,fume,1,0,39,foret_primaire,pieges,jour,0,0,1,0,0,0,0,1,0,0,moities,15000,15000,5,189,5_10
Q4,7,cephalophe_bai,cephalophe_bai,ungulate_medium,adulte,male,,,frais,18,35,56,foret_primaire,arc&fleches,jour,0,0,1,0,0,0,0,18,0,0,entiere,26000,1444.444444,5,19,5_9
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,male,,,frais,4,17,42,foret_primaire,arc&fleches,nuit,0,0,1,0,0,0,0,4,0,0,entiere,7000,1750,1,192,1_17
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,male,,,frais,3.5,18,39,foret_primaire,arc&fleches,nuit,0,0,1,0,0,0,0,3.5,0,0,entiere,7000,2000,1,192,1_17
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,jeune,femelle,non,non,pourri,1,0,36,foret_primaire,pieges,jour,0,1,0,0,0,0,1,0,0,0,,,,3,193,_12
Q4,9,cephalophe_de_weyns,cephalophe_de_weyns,ungulate_medium,adulte,femelle,non,non,frais,12,23,53,foret_primaire,pieges,jour,0,0.5,0,0,0.5,0,6,0,0,6,,,,3,193,_12
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,femelle,non,non,frais,4,16,41.5,foret_primaire,arc&fleches,nuit,0,1,0,0,0,0,4,0,0,0,,,,1,194,1_15
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,male,,,frais,3,14.5,39,foret_primaire,arc&fleches,nuit,0,1,0,0,0,0,3,0,0,0,,,,1,195,1_5
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,femelle,non,non,frais,4,19,40,foret_primaire,arc&fleches,nuit,0,0,1,0,0,0,0,4,0,0,entiere,7000,1750,1,196,1_3
Q4,9,cephalophe_de_weyns,cephalophe_de_weyns,ungulate_medium,jeune,male,,,frais,7,25,45,foret_primaire,arc&fleches,nuit,0,0.5,0.5,0,0,0,3.5,3.5,0,0,moities,12000,3428.571429,1,197,1_17
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,male,,,frais,3,16.9,37,foret_primaire,arc&fleches,nuit,0,1,0,0,0,0,3,0,0,0,,,,1,198,1_2
Q4,9,crocodil_nain,crocodil_nain,reptiles,jeune,femelle,non,non,frais,3.8,6.5,23,riviere,machette,nuit,0,1,0,0,0,0,3.8,0,0,0,,,,5,199,5_15
Q4,7,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,male,,,frais,4,15,33,foret_primaire,arc&fleches,nuit,0,1,0,0,0,0,4,0,0,0,,,,5,20,5_2
Q4,7,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,male,,,frais,4,15,36,foret_primaire,arc&fleches,nuit,0,1,0,0,0,0,4,0,0,0,,,,5,20,5_2
Q4,7,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,femelle,non,non,frais,3,15,28,foret_primaire,arc&fleches,nuit,0,1,0,0,0,0,3,0,0,0,,,,5,20,5_2
Q4,7,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,male,,,frais,4,15,34,foret_primaire,arc&fleches,nuit,0,1,0,0,0,0,4,0,0,0,,,,5,20,5_2
Q4,7,cephalophe_de_weyns,cephalophe_de_weyns,ungulate_medium,adulte,femelle,non,oui,frais,20,29.5,69,foret_primaire,arc&fleches,nuit,0,0.25,0.75,0,0,0,5,15,0,0,morceaux,20000,1333.333333,5,20,5_2
Q4,9,crocodil_nain,crocodil_nain,reptiles,adulte,femelle,non,non,frais,4.9,15,32,riviere,machette,jour,0,0,1,0,0,0,0,4.9,0,0,morceaux,15000,3061.22449,5,200,5_18
Q4,10,colobe_bai_de_thollon,colobe_bai_de_thollon,primates,inconnu,inconnu,,,fume,2.6,0,40,foret_primaire,fusil,jour,0,0,1,0,0,0,0,2.6,0,0,entiere,12000,4615.384615,5,201,5_21
Q4,10,cercocebe_noir,cercocebe_noir,primates,inconnu,inconnu,,,fume,4.6,0,56,foret_primaire,fusil,jour,0,0,1,0,0,0,0,4.6,0,0,entiere,10000,2173.913043,5,201,5_21
Q4,10,colobe_bai_de_thollon,colobe_bai_de_thollon,primates,inconnu,inconnu,,,fume,3.2,0,42,foret_primaire,fusil,jour,0,0,1,0,0,0,0,3.2,0,0,entiere,12000,3750,5,201,5_21
Q4,10,cercocebe_noir,cercocebe_noir,primates,adulte,male,,,frais,8,17,60,foret_primaire,fusil,jour,0,0,1,0,0,0,0,8,0,0,entiere,10000,1250,5,201,5_21
Q4,10,colobe_bai_de_thollon,colobe_bai_de_thollon,primates,inconnu,inconnu,,,fume,2.4,0,42,foret_primaire,fusil,jour,0,0,1,0,0,0,0,2.4,0,0,entiere,12000,5000,5,201,5_21
Q4,10,colobe_bai_de_thollon,colobe_bai_de_thollon,primates,inconnu,inconnu,,,fume,4,0,48,foret_primaire,fusil,jour,0,0,1,0,0,0,0,4,0,0,entiere,12000,3000,5,201,5_21
Q4,10,colobe_bai_de_thollon,colobe_bai_de_thollon,primates,inconnu,inconnu,,,fume,2.2,0,42,foret_primaire,fusil,jour,0,0,1,0,0,0,0,2.2,0,0,entiere,12000,5454.545455,5,201,5_21
Q4,10,cercocebe_noir,cercocebe_noir,primates,inconnu,inconnu,,,fume,3,0,41,foret_primaire,fusil,jour,0,0,1,0,0,0,0,3,0,0,entiere,10000,3333.333333,5,201,5_21
Q4,10,colobe_bai_de_thollon,colobe_bai_de_thollon,primates,inconnu,inconnu,,,fume,3,0,47,foret_primaire,fusil,jour,0,0,1,0,0,0,0,3,0,0,entiere,12000,4000,5,201,5_21
Q4,9,calao_inconnu,calao_inconnu,bird,adulte,femelle,non,non,frais,1,0,26,foret_primaire,autres,jour,0,1,0,0,0,0,1,0,0,0,,,,5,204,5_16
Q4,10,cephalophe_dos_jaune,cephalophe_dos_jaune,ungulate_large,adulte,femelle,non,non,frais,52,36,88,foret_primaire,pieges,jour,0,0.15,0.5,0.25,0.1,0,7.8,26,13,5.2,morceaux,25000,961.5384615,2,207,2_13
Q4,10,potamochere,potamochere,hogs,adulte,male,,,frais,12,35,58,foret_primaire,fusil,jour,0,0.1,0.75,0.15,0,0,1.2,9,1.8,0,morceaux,60000,6666.666667,4,209,4_6
