"","village","temps_au_village","ethnie","niveau_etudes","activite_1","activite_2","activite_3","temps_chasseur","especes_chassees","chasse_fusil","temps_strategie_fusil","type_chasse_fusil","chasse_arcfleches","temps_strategie_arcfleches","type_chasse_arcfleches","chasse_machette","temps_strategie_machette","efficacite_strategie_machette","nombre_personnes_machette","temps_strategie_pieges","type_chasse_pieges","chasse_chiens","temps_strategie_chiens","type_chasse_chiens","Age"
"84",3,24,"nkundu","secondaire","chasse","peche","agriculture",8,"petitsmoyensongules_sangliers_singes_rongeurs","oui","journuit","individuelle","oui","nuit","individuelle","oui","journuit",">50%",NA,"","","non","","",24
"85",3,26,"nkundu","secondaire","chasse","peche","agriculture",13,"petitsmoyensongules_grandsongules_sangliers_rongeurs","non","","","oui","journuit","collective","non","","",NA,"jour","collective","non","","",26
"86",5,25,"nkundu","primaire","chasse","agriculture","peche",20,"petitsmoyensongules","oui","nuit","individuelle","oui","nuit","collective","non","","",NA,"journuit","individuelle","non","","",25
"87",3,10,"nkundu","primaire","chasse","peche","agriculture",31,"petitsmoyensongules_singes_rongeurs_pangolins_grandsongules_sangliers","oui","journuit","individuelle","oui","nuit","individuelle","oui","journuit","50%",NA,"jour","individuelle","non","","",23
"88",3,23,"nkundu","secondaire","chasse","chasse","agriculture",8,"petitsmoyensongules_grandsongules_sangliers_rongeurs_oiseaux","non","","","oui","journuit","individuelle_collective","non","","",NA,"jour","individuelle","non","","",23
"89",3,5,"nkundu","secondaire","chasse","peche","agriculture",5,"autre_petitsmoyensongules_grandsongules_sangliers_singes_rongeurs","non","","","oui","journuit","individuelle","oui","journuit","50%",NA,"jour","individuelle","non","","",23
"90",3,60,"nkundu","primaire","chasse","peche","agriculture",23,"petitsmoyensongules_grandsongules_sangliers_singes_rongeurs_bonobos_buffles","oui","journuit","individuelle","oui","journuit","individuelle","non","","",NA,"","","non","","",60
"91",3,1,"nkundu","secondaire","chasse","peche","autre",4,"petitsmoyensongules_rongeurs","non","","","oui","journuit","collective","oui","journuit",">50%",NA,"journuit","collective","non","","",23
"92",1,28,"nkundu","secondaire","chasse","peche","agriculture",15,"petitsmoyensongules_grandsongules_pangolins_rongeurs","oui","nuit","collective","oui","nuit","individuelle","non","","",NA,"jour","individuelle","non","","",28
"93",1,12,"nkundu","primaire","chasse","peche","agriculture",7,"petitsmoyensongules_grandsongules_sangliers","oui","journuit","individuelle","oui","nuit","collective","oui","jour","50%",NA,"journuit","individuelle","non","","",23
